   0.0027s   c ------------------------------------------------------------
   0.0005s   c fastLEC v1.0
   0.0001s   c Author: Xindi Zhang
   0.0000s   c Email: dezhangxd96@gmail.com
   0.0000s   c ------------------------------------------------------------
   0.0000s   c [parser] input file: ../ins/miter_right/bit19/mul19o19.aig
   0.0000s   c [parser] mode: gpuES
   0.0000s   c [parser] threads: 1
   0.0000s   c [parser] timeout: 3600.00 seconds
   0.0000s   c [parser] verbose: 2
   0.0000s   c ------------------------------------------------------------
   0.0000s   c [Prover] Start to parsing AIGER file: ../ins/miter_right/bit19/mul19o19.aig
   0.0000s   c [AIG] successfully load AIGER file with MILOA: 9886 38 0 1 9848
   0.0000s   c [Prover] read AIGER file in 0.000631 seconds
   0.0000s   c [CEC] Starting CEC check...
   0.0000s   c [gpu] Detected 1 CUDA device(s):
   0.0000s   c [gpu] Device 0: NVIDIA GeForce RTX 4090
   0.0000s   c [gpu] - Compute Cap.: 8.9, Glob. Mem.: 23.64 GB, Multipro. Cnt: 128
   0.0000s   c [gpu] - Max Threads/Block: 1024, Max Grid Size: [2^30, 2^15, 2^15]
   0.0000s   c [gpu] - Shared Mem. /Block: 48.00 KB, Warp Size: 32
   0.0000s   c [gpu] PI_num = 38, PO_lit = 126, mem_sz = 175, n_ops = 4318
   0.0000s   c [gpu] r_bits = 32, r_max = 4294967296
   0.0000s   c [gpu] Processing 4294967296 rounds in 32768 batches of 131072 each
   0.6160s   c [gpu] Progress:   0.00% (0/32768 batches)
   0.6572s   c [gpu] Progress:   0.31% (100/32768 batches)
   0.6572s   c [gpu] Progress:   0.61% (200/32768 batches)
   0.6572s   c [gpu] Progress:   0.92% (300/32768 batches)
   0.6572s   c [gpu] Progress:   1.22% (400/32768 batches)
   0.6580s   c [gpu] Progress:   1.53% (500/32768 batches)
   0.6587s   c [gpu] Progress:   1.83% (600/32768 batches)
   0.6576s   c [gpu] Progress:   2.14% (700/32768 batches)
   0.6574s   c [gpu] Progress:   2.44% (800/32768 batches)
   0.6573s   c [gpu] Progress:   2.75% (900/32768 batches)
   0.6590s   c [gpu] Progress:   3.05% (1000/32768 batches)
   0.6587s   c [gpu] Progress:   3.36% (1100/32768 batches)
   0.6584s   c [gpu] Progress:   3.66% (1200/32768 batches)
   0.6573s   c [gpu] Progress:   3.97% (1300/32768 batches)
   0.6570s   c [gpu] Progress:   4.27% (1400/32768 batches)
   0.6575s   c [gpu] Progress:   4.58% (1500/32768 batches)
   0.6591s   c [gpu] Progress:   4.88% (1600/32768 batches)
   0.6583s   c [gpu] Progress:   5.19% (1700/32768 batches)
   0.6575s   c [gpu] Progress:   5.49% (1800/32768 batches)
   0.6579s   c [gpu] Progress:   5.80% (1900/32768 batches)
   0.6583s   c [gpu] Progress:   6.10% (2000/32768 batches)
   0.6575s   c [gpu] Progress:   6.41% (2100/32768 batches)
   0.6574s   c [gpu] Progress:   6.71% (2200/32768 batches)
   0.6574s   c [gpu] Progress:   7.02% (2300/32768 batches)
   0.6576s   c [gpu] Progress:   7.32% (2400/32768 batches)
   0.6673s   c [gpu] Progress:   7.63% (2500/32768 batches)
   0.6617s   c [gpu] Progress:   7.93% (2600/32768 batches)
   0.6592s   c [gpu] Progress:   8.24% (2700/32768 batches)
   0.6599s   c [gpu] Progress:   8.54% (2800/32768 batches)
   0.6636s   c [gpu] Progress:   8.85% (2900/32768 batches)
   0.6614s   c [gpu] Progress:   9.16% (3000/32768 batches)
   0.6573s   c [gpu] Progress:   9.46% (3100/32768 batches)
   0.6572s   c [gpu] Progress:   9.77% (3200/32768 batches)
   0.6574s   c [gpu] Progress:  10.07% (3300/32768 batches)
   0.6601s   c [gpu] Progress:  10.38% (3400/32768 batches)
   0.6648s   c [gpu] Progress:  10.68% (3500/32768 batches)
   0.6643s   c [gpu] Progress:  10.99% (3600/32768 batches)
   0.6575s   c [gpu] Progress:  11.29% (3700/32768 batches)
   0.6578s   c [gpu] Progress:  11.60% (3800/32768 batches)
   0.6577s   c [gpu] Progress:  11.90% (3900/32768 batches)
   0.6576s   c [gpu] Progress:  12.21% (4000/32768 batches)
   0.6590s   c [gpu] Progress:  12.51% (4100/32768 batches)
   0.6636s   c [gpu] Progress:  12.82% (4200/32768 batches)
   0.6575s   c [gpu] Progress:  13.12% (4300/32768 batches)
   0.6575s   c [gpu] Progress:  13.43% (4400/32768 batches)
   0.6575s   c [gpu] Progress:  13.73% (4500/32768 batches)
   0.6575s   c [gpu] Progress:  14.04% (4600/32768 batches)
   0.6575s   c [gpu] Progress:  14.34% (4700/32768 batches)
   0.6575s   c [gpu] Progress:  14.65% (4800/32768 batches)
   0.6576s   c [gpu] Progress:  14.95% (4900/32768 batches)
   0.6575s   c [gpu] Progress:  15.26% (5000/32768 batches)
   0.6575s   c [gpu] Progress:  15.56% (5100/32768 batches)
   0.6574s   c [gpu] Progress:  15.87% (5200/32768 batches)
   0.6575s   c [gpu] Progress:  16.17% (5300/32768 batches)
   0.6575s   c [gpu] Progress:  16.48% (5400/32768 batches)
   0.6575s   c [gpu] Progress:  16.78% (5500/32768 batches)
   0.6574s   c [gpu] Progress:  17.09% (5600/32768 batches)
   0.6576s   c [gpu] Progress:  17.40% (5700/32768 batches)
   0.6581s   c [gpu] Progress:  17.70% (5800/32768 batches)
   0.6584s   c [gpu] Progress:  18.01% (5900/32768 batches)
   0.6575s   c [gpu] Progress:  18.31% (6000/32768 batches)
   0.6575s   c [gpu] Progress:  18.62% (6100/32768 batches)
   0.6635s   c [gpu] Progress:  18.92% (6200/32768 batches)
   0.6575s   c [gpu] Progress:  19.23% (6300/32768 batches)
   0.6575s   c [gpu] Progress:  19.53% (6400/32768 batches)
   0.6605s   c [gpu] Progress:  19.84% (6500/32768 batches)
   0.6574s   c [gpu] Progress:  20.14% (6600/32768 batches)
   0.6573s   c [gpu] Progress:  20.45% (6700/32768 batches)
   0.6573s   c [gpu] Progress:  20.75% (6800/32768 batches)
   0.6576s   c [gpu] Progress:  21.06% (6900/32768 batches)
   0.6573s   c [gpu] Progress:  21.36% (7000/32768 batches)
   0.6575s   c [gpu] Progress:  21.67% (7100/32768 batches)
   0.6574s   c [gpu] Progress:  21.97% (7200/32768 batches)
   0.6581s   c [gpu] Progress:  22.28% (7300/32768 batches)
   0.6592s   c [gpu] Progress:  22.58% (7400/32768 batches)
   0.6577s   c [gpu] Progress:  22.89% (7500/32768 batches)
   0.6575s   c [gpu] Progress:  23.19% (7600/32768 batches)
   0.6575s   c [gpu] Progress:  23.50% (7700/32768 batches)
   0.6575s   c [gpu] Progress:  23.80% (7800/32768 batches)
   0.6576s   c [gpu] Progress:  24.11% (7900/32768 batches)
   0.6574s   c [gpu] Progress:  24.41% (8000/32768 batches)
   0.6575s   c [gpu] Progress:  24.72% (8100/32768 batches)
   0.6575s   c [gpu] Progress:  25.02% (8200/32768 batches)
   0.6583s   c [gpu] Progress:  25.33% (8300/32768 batches)
   0.6578s   c [gpu] Progress:  25.63% (8400/32768 batches)
   0.6574s   c [gpu] Progress:  25.94% (8500/32768 batches)
   0.6574s   c [gpu] Progress:  26.25% (8600/32768 batches)
   0.6575s   c [gpu] Progress:  26.55% (8700/32768 batches)
   0.6582s   c [gpu] Progress:  26.86% (8800/32768 batches)
   0.6575s   c [gpu] Progress:  27.16% (8900/32768 batches)
   0.6574s   c [gpu] Progress:  27.47% (9000/32768 batches)
